manufacturerid,parentid,subid,typeid,name,createddate,modifieddate
13,14,NULL,1,ST Ericsson,10/08/2012 15:19,07/04/2015 5:41
14,14,NULL,1,STEricsson,10/08/2012 15:19,10/08/2012 15:19
19,19,NULL,1,Stackpole,10/08/2012 15:19,10/08/2012 15:19
20,19,NULL,1,SEI Stackpole Electronics,10/08/2012 15:19,10/08/2012 15:19
22,20,NULL,1,Staco Energy Products Company,10/08/2012 15:19,10/08/2012 15:19
24,20,NULL,1,Staco,10/08/2012 15:19,10/08/2012 15:19
28,24,NULL,1,Stag Programmers,10/08/2012 15:19,10/08/2012 15:19
31,28,NULL,1,RBM CONTROLS DIV OF STANCOR,10/08/2012 15:19,10/08/2012 15:19
36,31,NULL,1,Standard Microsystem (Smsc),10/08/2012 15:19,10/08/2012 15:19
39,36,NULL,1,Maxam Pneumatics,10/08/2012 15:19,10/08/2012 15:19
44,39,NULL,1,Stanley FatMax,10/08/2012 15:19,10/08/2012 15:19
59,51,NULL,1,STARTECH.COM,10/08/2012 15:19,10/08/2012 15:19
75,71,NULL,1,Stego Elektrotechnik,10/08/2012 15:19,10/08/2012 15:19
76,72,NULL,1,STEINBACH AND VOLLMANN,10/08/2012 15:19,10/08/2012 15:19
77,72,NULL,1,Steinbach & Vollman,10/08/2012 15:19,10/08/2012 15:19
78,73,NULL,1,Steinel America,10/08/2012 15:19,10/08/2012 15:19
83,76,NULL,1,Kontek,10/08/2012 15:19,10/08/2012 15:19
94,92,NULL,1,STMicroelectronics [CHP],10/08/2012 15:19,10/08/2012 15:19
99,92,NULL,1,ST Microelectronics,10/08/2012 15:19,10/08/2012 15:19
108,100,NULL,1,Storm,10/08/2012 15:19,10/08/2012 15:19
120,111,NULL,1,STUDER INNOTEC,10/08/2012 15:19,10/08/2012 15:19
128,116,NULL,1,Sullins Connector Solutions,10/08/2012 15:19,10/08/2012 15:19
131,118,NULL,1,SUMIDA AMERICA COMPONENTS,10/08/2012 15:19,10/08/2012 15:19
135,120,NULL,1,Sumitomo,10/08/2012 15:19,10/08/2012 15:19
144,131,NULL,1,Sunon Fans,10/08/2012 15:19,10/08/2012 15:19
156,139,NULL,1,Supermicro Computer,10/08/2012 15:19,10/08/2012 15:19
167,149,NULL,1,SURE SEAL,10/08/2012 15:19,10/08/2012 15:19
177,156,NULL,1,Swann Morton,10/08/2012 15:19,10/08/2012 15:19
178,157,NULL,1,Swanstrom Tools USA,10/08/2012 15:19,10/08/2012 15:19
179,158,NULL,1,Sweex,10/08/2012 15:19,10/08/2012 15:19
182,162,NULL,1,Swissbit NA,10/08/2012 15:19,10/08/2012 15:19
186,165,NULL,1,Conxall/Switchcraft,10/08/2012 15:19,10/08/2012 15:19
187,165,NULL,1,CONXALL,10/08/2012 15:19,10/08/2012 15:19
