manufacturerid,name,parentid,address,active,statusid,createddate,modifieddate,metaname,searchweight,icd_weight,isICD
1,Sprecher+Schuh,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.283978,1
2,Springmasters,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.146789,0
3,SPS,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
4,Square ONE,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.433333,0
5,Squire,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.0222222,0
6,SR Components,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
7,SRC Devices,NULL,http://www.srcdevices.com/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.21486,1
8,SRT,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
9,SS White,NULL,NULL,1,NULL,10/08/2012 15:18,05/02/2015 13:31,NULL,1,0.1,0
10,Littelfuse SSAC,3002,NULL,1,NULL,10/08/2012 15:18,07/09/2014 17:52,Littelfuse SSAC,1,0.00813008,1
11,SSD,NULL,http://www.shishido-esd.co.jp/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
12,SSI Schaefer,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.1,0
13,SSI Technologies,NULL,NULL,1,NULL,10/08/2012 15:18,05/02/2015 13:31,NULL,1,0.499119,1
14,ST-Ericsson,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.357594,1
15,Stabila,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.000302115,0
16,Stabo,NULL,http://www.stabo.de/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
17,Stack Electronics,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
18,Stack-On,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
19,Stackpole Electronics,NULL,NULL,1,NULL,10/08/2012 15:18,15/08/2014 20:11,NULL,1,0.845954,1
20,Staco Energy Products,NULL,http://www.stacoenergy.com/,1,NULL,10/08/2012 15:18,15/08/2014 18:57,Staco Energy,1,0.389001,1
21,Stacoswitch,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
22,Staedtler,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.0791667,0
23,Staffall,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.375439,0
24,Stag Instruments,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
25,Stageline,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.292,0
26,Stahlin,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
27,Stahlwille,NULL,http://www.stahlwille.de/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.0648822,0
28,Stancor,NULL,http://www.stancor.com/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.615088,1
29,Standa,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
30,Standard Abrasives,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.1,0
31,Standard Communications,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
32,Standard Crystal,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
33,Standard Fastenings,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
34,Standard Instruments,NULL,http://www.standardinst.com/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.32,0
35,Standard Microsystems,NULL,NULL,1,NULL,10/08/2012 15:18,05/02/2015 20:45,NULL,1,0.0707366,1
36,Standard Pneumatics,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.00555556,0
37,Standard-K,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.617822,0
38,Stanley Electric,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.155578,1
39,Stanley FAT MAX,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.1975,0
40,Stanley Proto,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.1,0
41,Stanley Tools,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.0042,0
42,Stanley Works,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0,0
43,Stanley,NULL,http://www.stanley-components.com/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.0828954,0
44,Stannol,NULL,http://www.stannol.de/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.0870614,0
45,Star Micronics,NULL,http://www.starmicronics.com/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.128947,1
46,Starkstrom,NULL,NULL,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.238095,0
47,Starpoint Electrics,NULL,NULL,1,NULL,10/08/2012 15:18,05/02/2015 13:31,NULL,1,0.185714,1
48,Starrett,NULL,http://www.starrett.com/,1,NULL,10/08/2012 15:18,10/08/2012 15:18,NULL,1,0.171866,0
