task_id,count
0005f4ac220cab64,3
0006d7a24ca03f78,4
000c560bd959c453,4
000ec16028877513,3
001444e6d14bdcb6,6
001b7cbb83b5f9e4,11
001f2ca5e4a8791e,4
00233d31146fd5d5,4
002d133f7527cd0c,5
002d2479846d5535,8
0032a000c9eb6b69,8
003fd12dd1cb2dd8,8
00416d76e9b85d94,4
0042aa8678deabe8,5
004450671a92a749,4
0048212c38f90028,1
0049c7b7a16a89bb,4
0051402738753c02,4
00553fd054b95c4d,4
00610d9c35c31e0a,7
0065dc38bdd033a7,11
00687a90c4410380,5
0069077186ca17d4,5
006953eb050eeca7,3
006c1631c594b506,3
006d8052c20b470e,4
006d908ad66c22c3,3
00729c5d28cb8b4e,8
0076d55d6cb0e3f0,6
00774f86844348bb,11
007908a97863b210,4
008075dedff2f5c7,8
00826a79e722c03f,3
0082e71a2f7ed419,6
00838317936fc695,4
008759cd72e0409c,4
008a6fdf98990a49,8
0092def8e9f6269a,7
0095d2d8a0be4033,8
009c458f62659e96,4
00a05ae2f9957314,4
00a35bfeaa13325c,15
00a42049b4089792,7
00aa349126801f4a,6
00aa93528931ca97,5
00aaa3e96f79ee24,7
00abc199f49fa97d,4
00b3b46d642f85b2,5
00ba5e809e6cb856,5
00bb4233ae19513d,5
00bb99446e841d3e,4
00c17002517e19f1,4
00c4783ce9dc1f1d,5
00c5aa28a839ce1f,5
00c5f4e6ccde1d0d,3
00c886b133b2527d,8
00cf92f3a77df93a,16
00d2e73301cdecb1,4
00d91345369e9012,10
00d9a55bd6364ed1,8
00dc29266529c7cc,4
00df998fa79b078c,3
00e0aeed597e8b48,6
00e0c9e3f851afdb,5
00e27e7abbd4b88c,4
00e3e2cc8e1cd886,3
00e409922c191428,9
00e4a9af3b83f411,3
00eaf60637b23783,8
00fd42563b083a3b,5
01000670029c80df,7
0101837c1b562d53,7
010838d471288a0d,3
010d3ceab00b7c49,12
010e7e285f1d7030,12
011177891f2fe5cc,6
011264150e525b68,9
01160cf3656328b7,4
011aa0eb61503226,10
011fb79a3f427b8c,3
012177a4fd7804ba,9
0127d723dd2aa7b5,5
01339637f0922e19,8
013809d5ef77e5dc,3
013a5a800ae86bb3,5
013e7f048ae16f50,4
01405411c277e0cc,4
014296a0a9a6838c,9
0148d68b89d3444c,7
01499cbfad39346b,5
014b12adb0f8c831,5
014da07145b07bda,4
0150c896b121db4f,4
01560a8cd4a7d6ef,13
0157612aede57cc6,5
015f6bc00e319828,11
016496a544cb8561,11
0164d4f21ad5aa5a,6
016b988e6ffe5bcc,5
016de060d06ab714,13
016f7da1f0af584b,5
0170e732f7585f10,3
017198bea4563a23,4
0171ebcaca5c7bf0,5
017329699616888c,5
0174634498207738,3
01774d0770362696,5
017978c983f64a64,5
017995e207a8f9c7,9
017fb160b5332d5c,3
0184a1aadd659471,12
0190b58b4a5c4070,3
0197c8d905f8ed80,4
019900b90b4a2eec,3
019a24559041b31c,6
019cc70c9eeb6a53,4
01a534699a258128,6
01a6d0ae7add71a5,4
01b176ea27af36f7,4
01b66d891c47d6d9,5
01bbd56fc88b772b,4
01bc8a7a6410ab89,8
01bde6ffb7bfa392,6
01c1cf404d42bcbe,5
01c2de01940aaac3,6
01c8d21f27e86bde,5
01cc35aa336cc6b0,10
01ced9f5e22c535d,14
01d066b695079af6,5
01d0b128a36acb00,4
01d2afe1f252b23b,7
01e91931aba44bc1,4
01ebb380c9bb66b1,4
01ff77e56464adb2,4
0203e42675d91583,4
0204ddcb8814c166,5
0209f94030719a08,14
020c782c655f253f,6
0215698772332eca,4
02190bc07fe84e3a,8
021b14cde7e98d48,5
021d028d9de0c8a1,4
0223a53bdda59a87,12
02291db17e203e2b,4
022a14b439a6eab1,1
022fd5f8e8822bb2,4
022fed2dadd8888c,6
02348b63157f9d22,4
0236638ce1259361,3
023969a361c8bf9e,4
023d5edc99dd932e,5
0240826db5ff26d6,4
02421523f1036cfa,4
024219445e1edf42,5
02439c423d1ed17e,4
0246703403b53427,4
024a0853cce95c55,6
024a8aafa13fce6a,4
024bbbc19a40b897,3
02524afd1768fce9,10
02598872d9ff4643,11
025c92fe834a212b,5
025feba17e0d0741,6
0261900fed44cc83,3
0263112bcd7cdef0,3
0268b7c29f01f965,3
027192313f718a02,8
0278a5888189ee8a,8
0278ee71bc6115ff,5
027a4f208000ce69,6
027b731dfd98a108,5
027bdedaa226da0f,8
027d2203ce41a3f3,9
02808fcb557fb4d4,4
02812e2f60b7e700,5
028abcaf1c4d1331,3
028bea5e94c8a3d0,4
028fd04cab6bf5e8,4
029059456cbf386d,5
0291fe06bbfb5ac6,4
029aecfe63d222e8,5
029aee8bebd313d9,8
02a23c6ffb7a1703,5
02a4b87a08bda2f3,13
02a4bee5fb6347d1,4
02a7d26767e79a7b,6
02a899931d6f5f92,4
02aa03af317a5d7e,6
02ac686371ae7954,4
02afe6a5d98b17c8,4
02b40e37bd1138f7,5
02b7e102b8f9754d,4
02c195493917d2ab,3
02c211faaa858f54,5
02cf45cf1026ef01,4
02d036e0c8d452b0,4
02d5583495ca24e2,4
02ddc8b9eab6e17f,4
02e0c93ef79c89de,6
02e863a1f59a07f4,6
02ef2f933342e7b0,6
02f27e854eb3c29b,3
02f86bf331b98c15,7
02faa8d9387e21df,7
02fae924c3ab2879,7
0300fd6533b9c2fb,5
0303e9809ea742fd,16
03072765d6f0c9a4,7
03088a0760a37ff9,5
030a2d6eb340c18b,10
030c9758bcbaf44a,14
030f596deab37349,8
0311047a074120bb,8
03116c5198a80a03,3
03119ce6c7a9b289,3
03133fbe0622831c,4
03158fcf47dc2e8b,4
031839e24e67b961,5
0319a0500d9f91a1,6
031a736fb988751b,3
031b014ce5227427,7
031b37e58860c92e,3
031c6163e736ff5a,8
031e2327e81841e0,4
0324ed3106f83ae4,7
03264035573bc5f5,3
032848e6e9c2679d,7
032ae640902d60bc,9
032b8c8364860ee9,16
032f22e4a7d4f79b,12
0330270eed4ae490,4
033c20c7968ba3af,5
034382e03fcea931,4
0345ad94c61e86e8,3
0349ed05c64a4f9a,8
034d53a68148a1ee,4
0351659b286bf9c8,5
035174bd5b780edf,4
03562b704ff47bc5,9
03570dff69767aa3,7
035811d7a0409b04,8
0359d3054088c127,5
035ab21583a0b314,6
035cd766b3a22712,5
035d27a0aa5823fe,6
035d316a33cc9f28,6
035e3856a7966c5a,5
036017c00256c8c7,4
0361430380da5712,15
0363665fc47b7edc,4
03664b03e9cccb7f,5
03679f24fd423d06,4
03699b311fd4c856,6
036a754808ae6e84,3
036ca62b78f79316,11
036d058ae4829382,3
03751ab625098551,5
03755108ed4a6b1b,5
0376ab69f94200dc,5
037705212b433876,6
03781323c7432cde,4
037d269d745a975f,11
037d9e137344d938,8
037e8aba36a8e549,3
0387c0e737bfabc8,5
038e0f61c7a3829f,8
03921fcff1380ecd,4
0399e6bbc302b775,4
039baafa2f26a32a,11
039c05f9d03d75b7,5
039e869906e7dde5,4
039feca3f245cb03,4
03a53ffdd8b02993,9
03a8da220aa43e95,9
03aab80b99f6032f,5
03adfc5db29b9e4b,5
03af106c038fd300,9
03b50d5e59e72ef9,4
03b5c79022a39a36,4
03b8ef45d467fc64,6
03b906df0ddcd56c,8
03b986649be2cef2,4
03b9e534d9c6d028,5
03c19db7f1598079,7
03c264f9e0448442,3
03c51104d8fee3dc,7
03cac0b6a9dbd285,4
03cd85049e939651,5
03d2e302903b472c,7
03d4b2f472380f3e,10
03d77ae1c66f1bf1,7
03db375bd7204d6e,4
03dc974d3d9d0fe4,5
03e1dba51d74c887,6
03e9dc6ed3165816,5
03ec8e8a6d4bf6a8,7
03f00f7bba4c7a3c,4
03f54825a848864f,4
03f704ae5bd02535,6
03fd8f1db320d7bf,4
0400ae5e6546155b,5
0403249517756e90,4
0404ca1af1e38cdf,6
04076586048ffdf5,4
0407ec4ca5576293,12
04082ddeb0235557,8
040b70e3f951a8d7,4
040fb1f70746a08c,12
041185e2eb7b2c0a,5
0418f4ab84b58bfe,4
041c1085cc0dfabc,4
0420adf5a59bedc1,4
0421aface8150d92,6
04250206217011b1,27
042662ca24438051,9
0426c5c6c9d17c42,4
042d5c24d70a47ca,5
042d96b1d6445c0a,4
043021097ae2e68f,8
04310002be8e5436,4
0432f8eda6abbe71,11
04391bc39826f9ed,7
04397653777a514f,7
0448b9158da6cd5c,5
044dc0ffcdb0a8de,5
044f478eae4c194f,6
044f6e02b48d9c44,4
0458af0353e735d6,4
0458c599cab358e6,4
045c5d8db591e965,8
0460d45d9a23df5a,3
0460ed067767fe70,4
0464e758015c9fa1,7
046aacc93e1701e6,5
046b34ff8c40af1b,4
046e28076f2d6f7f,4
0473229309a046ab,6
