component_id,manufacturers
002496283637cf39,Microchip
008483e23567c78f,Johanson
0193ccb851353feb,Riedon
01f2dbebd07f1633,Fairchild
021a3fc05e9d2ac8,Silicon Laboratories
02adce0f45e041f7,Diodes
043d7b98b08b67d4,E-Switch
050812758c28af96,Broadcom
06b038498021305f,Allegro MicroSystems
06fd615a20c0cdd5,JST Sales America Inc.
077fbc732cc1ccb4,THAT Corporation
0ab4ebc427a1aaa9,Switchcraft
0afa666975f8bb69,Stackpole
0b14a8c8966378be,Microsemi
0b382036221aed10,Lucky Light
0c0c68b4528151d2,Murata
0c83f8347567e70a,Molex
0ce6585f281511bf,United Chemi-Con
0cf3b93fb96a23cc,YAGEO
0d261ee2fe7f819a,AVX
0e0c314a02c762e5,YAGEO
0ec3aa93936a6b12,Pololu
11dfbf8cd76df62a,Texas Instruments
1315f9ec61064db6,Microchip
138ca07490c0983c,Panasonic
14b2d8eee2abe855,Murata
14c0d545f9cd921b,Panasonic
159bc3c3726107e4,Texas Instruments
16b95ad4214b9ca6,Bourns
17060c3cf48e7e17,Fairchild/ON Semiconductor
17a7c4e42d31c495,Mini Circuits
182467af7291c6bd,Fairchild
18c30ed9fadaee38,Richtek
19c171e49e8d8622,TE
19dba0ab015929d3,Vishay
1a3a5a11cd58a1d8,Kemet
1a5bd8ccfa67a091,ROHM
1c05d14e5af37ba4,Vishay
1ce0f16c77b27072,YAGEO
1d811afe18b32bf1,Bulgin
1d8278a3eefac850,Maxim Electronics
1d8cb8295c7d9eea,Wurth
1d8da6885ae4f690,Schurter
1dc2a1349a14a797,Vishay
1e17c0ec4aa2ac47,Texas Instruments
1e58406d4137ab66,Diodes
1f70275aa0247d6f,SunLED
1fc7f89684a4b216,Texas Instruments
216569302d49d5da,Intel / Altera
2214f29f084f2925,Atmel Corporation
22a3637531d7ebb1,ST Microelectronics
23ce0ee6de5aa64e,ON Semi
24f9fc20836afefb,Texas Instruments
2506c1efed9f64c4,Silicon Laboratories
25200a82651442df,Dialight
2554c800aadb575c,TE
26e061cf13962c32,Microchip
274159f62089f264,TE
279d87331a6d0b7d,Multicomp
292cfbeeceb56f85,Atmel
293ab7d0857bf70f,Kingbright
2a021db00d7ddc2c,Murata
2a7b3a7c03c464db,Texas Instruments
2c078a71cb5689a7,Wurth
2c41ffedf80d403c,Vishay
2d19899997953718,Littelfuse
2ee669374dc0f1f5,Texas Instruments
2f37d0bdbb9411a0,TE
2f595954f76a41bf,Linear Technologies
2f616c4875ce8cd4,Vishay General Semiconductor
2fed3a4fad8f0fad,AVX
3072b4b0bf4a5333,Lite-On
3287b99d85000982,Murata
339937422f3be531,Texas Instruments
339f05b81ac62dbd,Texas Instruments
342d1fc7ee430f2c,Molex
35b34b7fce6edad1,ON Semi
afdb78a959adbe8f,Diodes
379704ba687bb521,Atmel
379ff68b2fb5bebf,Dialight
384ef8122dceb9c1,Vishay
39329cd619761dd7,Melexis
3947cba94a0211c4,Linear Technologies
3948cbc5ec431f5a,Texas Instruments
39a55fe55d15d468,YAGEO
3a9ac7856a12ac7b,Vishay
3b01d07cb3c5fa78,ROHM
3ba712c5ea077f0c,Power Integrations
3c6c95876398dc70,Vishay
3f982b5f3a1ef0ef,Diodes
4018a9ddf7a78d61,Kemet
4083917da350e009,Vishay
40c8642a47ca6510,Maxim Electronics
414acc454fba82ac,Texas Instruments
41826964b64abfa1,Lattice Semiconductor
42073ff864908d73,Infineon Technologies AG
af0ede98b0a6feae,Abracon
431f00cd7476b53f,Texas Instruments
432a9d9d31e6dc69,Texas Instruments
43f6fd85a8f525cc,Fairchild
454f9372e99c9069,Susumu
45de044e7a92532a,MPS
46c41ecf20dbadd5,NXP
476cb76f866b1d66,Texas Instruments
47b9b7bb79ff16bc,Vishay
48fc6091df5bc7c5,Maxim Electronics
49233af5ef2c9a5d,Analog Devices Inc
49a010caf320e58d,Vishay
49d7f3e60e06ef68,TE
4b55189363c4866c,YAGEO
4c147f205f090ee1,NXP
4c54d88eb16b5580,Texas Instruments
4c9085756215143c,Vishay
4f33d2d482f13eb7,Maxim Electronics
4f4c37ff067a283a,4UCON
4f5689b844087c7f,OSRAM Opto Semiconductors Inc.
5124e732cbdebd09,Panasonic
5129ffc576f1bfd6,Silicon Laboratories
51cf82dce3d8c44a,Samtec Inc.
520aef66794ef3dc,"Micron Technology, Inc."
5247a0fd0f4df166,JINGPENGYUAN
528f79832d08282e,Analog Devices Inc
52b3b8cf215c19b7,Bourns
53fb1d30fc84b867,YAGEO
d798dbf06c3e2beb,Diodes
546a1b4fc8281d31,Tyco
54f783f452d70acb,Sullins
55ea1d17be932d1b,AVX
56e601e1cd96728d,Vishay
578da88498c207ef,Texas Instruments
5822005e35ad3ee3,Texas Instruments
59b5c69894be8a35,Vishay
5a5537a84b35a1ad,Diodes
5a648e15e115fa11,YAGEO
5a819cf422643956,Bosch Sensortec
5aab1c4e77cc28cd,Panasonic
5b02f521d6c75ef5,Fairchild
5b7040e565c3a1ee,Bourns
5b9fbb9da23d200b,Diodes
5c8dda24efaf8f51,Keystone
5cf1377599879452,Texas Instruments
5d1ec7601caf9d55,Microchip
5e98a50d3466a93a,Linear Technologies
5f4f44407e2ce345,TDK
5fad53f8ed4d4193,Vishay
5fbcb6e7c3cbec9f,Fairchild
5fce9424a546f074,Everlight
602c3908f6a1d541,Texas Instruments
604da883ddab4e0c,Nexperia
605ff8b5f3f2392c,ROHM
637537c214e3455e,Texas Instruments
64260b6045798b7d,Stackpole Electronics Inc.
649c05a0720cc201,Panasonic
65abd0baaea3e7f6,Qualcomm Atheros
661baf418ba5070f,Samtec Inc.
678ddfa6d7b74218,Fairchild Semiconductors
6941cfdc73d65728,Stackpole
6a3130ef281be36b,IST
6ae4f0cd22ef22db,Texas Instruments
6b39b6dafb855f0e,Samtec
6c9d5bf15b5596fe,Ohmite
6f7697d3df860a84,Conec
707d8192f83ea2b7,Molex
71a6b749703b0282,Cherry
73fd2a8082a407c7,Texas Instruments
74545450ed0c1921,Altera/Atmel
74853a3c5a77401e,Panasonic
7485a5c1748101a6,YAGEO
74a88c6b58966a39,Yageo / Phycomp
751612fb7f7947df,Micro Commercial
7519e329a33dc4f5,TE
7594e475cbb073d9,Copal
775f5667abe258aa,Murata
7802e71d6a4e4417,Samsung
786c0a2fadd57f68,YAGEO
78dceb125d888f0d,E-Switch
790436b690fc6025,Texas Instruments
79d4e05845d37bdc,YAGEO
79ec0c46caf7ca60,Texas Instruments
7a1f0adbbf70e528,Knowles
7a57b4556a9b8526,Texas Instruments
93c814a81ad38c92,Diodes
7af202d13173d158,Analog Devices Inc
7b52526cd324363a,Murata
7b801df7862e5b46,Microchip
7cc6d46ad7b8acc8,Analog Devices Inc
7cf7237af20bf84f,Lite-On Inc.
7dc5b8cb03bb3c52,PixArt Imaging Inc.
7e950d692174c18d,ST Microelectronics
7eb8f0275fd387f1,Kyocera
8026788969909d49,Honeywell
80a73d59352473fd,Bourns
8248b1c168873f00,STMicroelectronics
825bff6b713c851f,Sullins
827d58eb30ee5b60,ams-TAOS/Texas Instruments
8297c5a40127c4c7,Kemet
8302f4067a906e6c,Lite-On
833ebba5aed1e697,Bourns
837d17c74b339edd,Stackpole
