task_id,count
361fd7e4a135531a,4
65ed9389a994b0a2,2
af69995f93db7b6f,1
90785a9578e6dd7c,6
91a3465deb05847d,2
297791614cef7682,1
749d83fd46bf505e,6
8a7d6817822856f4,3
2711fc6ff08e8cc9,4
74fe8ad59ea04351,1
878e4ee8b8e29a87,3
b7b47f1f3b27bb80,2
76e3270126ffcc26,2
41087606e20ebd2a,1
6194975bcdd6e273,4
45218e7e4de22bf6,1
c0500a6f428f48df,1
1f686cb34f9515f4,1
893e995eec9d6f79,1
d8aa71ee49eb8c57,5
c04a50ae49f9bf98,2
2a2c78704f082bb2,3
24f59fa72919f915,1
be302a33874eac45,1
e7afd89e286c5cae,1
2ac4d32137a3c99d,1
36961b2524c0ae6c,1
c287f1e054fd73bf,1
f07b909b1b7777d4,2
e9aa263862cb483a,1
dc4320b1521f2343,1
e5cb77df0f4a33cb,1
a1c7029f477f1000,2
2696eebe130532d9,1
e5e6b2b85218e112,2
56f9e5461461f06e,3
dbce6ef4891e218a,1
be8ae496d7ca41fd,1
3ffca47be4e8f132,1
71d761f6ab3e9229,1
1984703a6165de45,3
b3fcd979c074fd2c,9
18b4bbadeb8d16ab,1
e20f6bf7883d2c9f,1
feb1d736b70a5f18,2
0926bbc8a7b28e42,1
930b7ef84d233ff7,3
303a363d9cb292b4,1
52971652e1439027,3
4ea6d02b7b2666ff,1
b5bf09634887cd27,4
673bcdd8e05b9001,1
ee2f1f776200c1de,2
37b4423fdd4b1bad,1
bd97f83f58867de4,4
9210607fb00c92d6,2
bc496e440d056895,1
62370cc8641456d6,1
bab2b1868b4bafec,3
77ba5d3ace16d694,2
68c231066f527e0a,1
27664b92bc5e3f82,1
0fae83a4fc1eca44,2
0674905dce49b0bf,1
3572603173cfa61a,4
62feb9ade6a216d8,5
ab7ee12fb0da7c4e,2
a51c352b1ca7b415,2
c74b596adfa4fed5,2
64e0a384b0abd3e3,2
cc6313326f4faf38,3
b37fc056cdfd0c18,2
05c8fa1d88946e91,1
d60c8448d2807b51,3
241adae454dabed6,2
755a2ad04be2055c,3
69c40408506a17fa,4
8acf071bf2279156,5
f2a6f406ff16254a,1
6773e645eea0bc65,2
1b44d94f00914580,1
94a598c7831b4e68,2
1cfa52263a3d9a20,1
62515bf182db1da5,7
afbf2b83df291f71,2
37b049262fd02f60,2
2de5dfd22910f450,15
1b014ac840d14abc,1
011177891f2fe5cc,1
be596d60b677398b,3
d28f566e06be2cbb,2
977018e913814a69,1
9d4bb61fb9f0037f,1
859dc1b406508b19,7
156078163132a21c,1
3bbaa84dd63b5747,2
a2bfc8593e8a77b2,1
33b0f5ff82175ed8,1
969d7a10c27541dc,2
50f47a57726f8df2,3
4a0a49b505796e60,1
db05e8fec748e411,1
dffedec94978305e,6
50e81030a5d95a0c,4
18cb82ac4b8fac9a,2
4fb57947a073cc2d,1
44e901864293500c,28
4a6cbe0d3d51ee3e,1
407d57b9a5ed914a,1
bdde322274e2dcc2,1
aa61a3d12b042a94,1
151238a7b919535e,6
738b49eb8664cce4,1
e86078e0f1efc827,2
338653fe9ba27b02,1
6ac068807e1c47b9,1
